,userId,movieId,rating,timestamp
0.5,,,9.0,
1.0,20.0,4.0,60.0,
1.5,,,19.0,
2.0,76.0,1.0,107.0,
2.5,,,42.0,
3.0,51.0,1.0,282.0,
3.5,,,101.0,
4.0,204.0,,356.0,
4.5,,,70.0,
5.0,100.0,1.0,251.0,
6.0,44.0,1.0,,
7.0,88.0,,,
8.0,116.0,,,
9.0,45.0,,,
10.0,46.0,4.0,,
11.0,38.0,1.0,,
12.0,61.0,,,
13.0,53.0,,,
14.0,20.0,1.0,,
15.0,335.0,,,
16.0,,1.0,,
17.0,,3.0,,
19.0,,1.0,,
21.0,,2.0,,
22.0,,1.0,,
25.0,,1.0,,
26.0,,1.0,,
31.0,,2.0,,
32.0,,2.0,,
34.0,,3.0,,
36.0,,2.0,,
39.0,,3.0,,
40.0,,1.0,,
44.0,,1.0,,
45.0,,1.0,,
47.0,,5.0,,
50.0,,5.0,,
52.0,,2.0,,
60.0,,1.0,,
62.0,,2.0,,
70.0,,2.0,,
82.0,,1.0,,
94.0,,1.0,,
95.0,,1.0,,
101.0,,1.0,,
104.0,,3.0,,
107.0,,1.0,,
110.0,,6.0,,
111.0,,2.0,,
112.0,,3.0,,
123.0,,1.0,,
125.0,,1.0,,
126.0,,1.0,,
141.0,,3.0,,
144.0,,1.0,,
145.0,,1.0,,
149.0,,1.0,,
150.0,,3.0,,
151.0,,1.0,,
152.0,,1.0,,
153.0,,3.0,,
157.0,,1.0,,
158.0,,1.0,,
160.0,,1.0,,
161.0,,2.0,,
162.0,,1.0,,
163.0,,1.0,,
164.0,,1.0,,
165.0,,2.0,,
168.0,,1.0,,
169.0,,1.0,,
170.0,,1.0,,
172.0,,1.0,,
173.0,,2.0,,
175.0,,1.0,,
176.0,,1.0,,
180.0,,1.0,,
185.0,,3.0,,
186.0,,1.0,,
193.0,,1.0,,
196.0,,1.0,,
198.0,,2.0,,
207.0,,1.0,,
208.0,,2.0,,
214.0,,1.0,,
215.0,,1.0,,
216.0,,1.0,,
222.0,,1.0,,
223.0,,2.0,,
225.0,,2.0,,
230.0,,1.0,,
231.0,,2.0,,
232.0,,1.0,,
233.0,,1.0,,
235.0,,2.0,,
237.0,,1.0,,
246.0,,1.0,,
247.0,,2.0,,
248.0,,1.0,,
252.0,,1.0,,
253.0,,3.0,,
260.0,,4.0,,
261.0,,1.0,,
265.0,,2.0,,
266.0,,1.0,,
267.0,,1.0,,
272.0,,2.0,,
273.0,,1.0,,
277.0,,2.0,,
282.0,,1.0,,
288.0,,1.0,,
289.0,,1.0,,
292.0,,2.0,,
293.0,,2.0,,
296.0,,7.0,,
300.0,,2.0,,
306.0,,1.0,,
307.0,,1.0,,
308.0,,1.0,,
314.0,,1.0,,
316.0,,2.0,,
317.0,,2.0,,
318.0,,7.0,,
319.0,,1.0,,
322.0,,1.0,,
329.0,,3.0,,
333.0,,1.0,,
335.0,,1.0,,
339.0,,2.0,,
342.0,,1.0,,
344.0,,3.0,,
345.0,,2.0,,
349.0,,3.0,,
350.0,,1.0,,
353.0,,1.0,,
355.0,,3.0,,
356.0,,8.0,,
357.0,,4.0,,
362.0,,1.0,,
364.0,,5.0,,
367.0,,5.0,,
370.0,,2.0,,
371.0,,2.0,,
372.0,,2.0,,
373.0,,1.0,,
377.0,,5.0,,
380.0,,3.0,,
382.0,,2.0,,
405.0,,1.0,,
410.0,,2.0,,
429.0,,1.0,,
431.0,,2.0,,
434.0,,2.0,,
435.0,,2.0,,
440.0,,3.0,,
441.0,,1.0,,
442.0,,2.0,,
454.0,,2.0,,
457.0,,3.0,,
464.0,,1.0,,
466.0,,1.0,,
468.0,,1.0,,
471.0,,1.0,,
474.0,,2.0,,
480.0,,5.0,,
481.0,,1.0,,
483.0,,1.0,,
485.0,,2.0,,
494.0,,1.0,,
497.0,,2.0,,
500.0,,4.0,,
508.0,,2.0,,
509.0,,2.0,,
515.0,,2.0,,
520.0,,2.0,,
524.0,,3.0,,
527.0,,6.0,,
529.0,,1.0,,
531.0,,1.0,,
534.0,,2.0,,
535.0,,1.0,,
537.0,,1.0,,
538.0,,1.0,,
539.0,,3.0,,
540.0,,1.0,,
541.0,,3.0,,
543.0,,2.0,,
549.0,,1.0,,
550.0,,1.0,,
551.0,,3.0,,
552.0,,1.0,,
555.0,,1.0,,
556.0,,1.0,,
562.0,,1.0,,
574.0,,1.0,,
585.0,,1.0,,
586.0,,3.0,,
587.0,,3.0,,
588.0,,6.0,,
589.0,,5.0,,
590.0,,5.0,,
592.0,,5.0,,
593.0,,5.0,,
594.0,,4.0,,
595.0,,3.0,,
596.0,,2.0,,
597.0,,2.0,,
608.0,,3.0,,
610.0,,3.0,,
616.0,,2.0,,
628.0,,2.0,,
647.0,,1.0,,
648.0,,1.0,,
661.0,,1.0,,
663.0,,1.0,,
665.0,,1.0,,
671.0,,1.0,,
673.0,,1.0,,
674.0,,1.0,,
680.0,,1.0,,
708.0,,2.0,,
720.0,,3.0,,
724.0,,2.0,,
